KodePajak;KodeTransaksi;KodeStatus;KodeDokumen;FlagVAT;NPWP / Nomor Paspor;Lawan Transaksi;Nomor Faktur / Dokumen;Jenis Dokumen;Nomor Faktur Pengganti / Retur;Jenis Dokumen Dokumen Pengganti / Retur;Tanggal Faktur / Dokumen;TanggalSSP;MasaPajak;TahunPajak;Pembetulan;DPP;PPN;PPnBM
B;2;1;1;0;028248979604000;PT. MATAHARI ARTHA ABADI;010.901-13.45087608;0;;;17/07/2013;;0707;2013;1;1442646;144265;0
B;2;1;1;0;028248979604000;PT. MATAHARI ARTHA ABADI;010.901-13.45088228;0;;;24/07/2013;;0707;2013;1;1366909;136691;0
B;2;1;1;0;020404141034000;PT. SUKA SUKSES SEJATI;010.900-13.77396180;0;;;19/07/2013;;0707;2013;1;851832;85183;0
B;2;1;1;0;020404141034000;PT. SUKA SUKSES SEJATI;010.900-13.77395075;0;;;13/07/2013;;0707;2013;1;285610;28561;0
B;2;1;1;0;020404141034000;PT. SUKA SUKSES SEJATI;010.900-13.77395073;0;;;13/07/2013;;0707;2013;1;181536;18154;0
B;2;1;1;0;020404141034000;PT. SUKA SUKSES SEJATI;010.900-13.77395076;0;;;13/07/2013;;0707;2013;1;690067;69007;0
B;2;1;1;0;020404141034000;PT. SUKA SUKSES SEJATI;010.900-13.77395074;0;;;13/07/2013;;0707;2013;1;200232;20023;0
B;2;1;1;0;020404141034000;PT. SUKA SUKSES SEJATI;010.900-13.52520299;0;;;02/07/2013;;0707;2013;1;529114;52911;0
B;2;1;1;0;020404141034000;PT. SUKA SUKSES SEJATI;010.900-13.52521757;0;;;09/07/2013;;0707;2013;1;923866;92387;0
B;2;1;1;0;021761275619000;CV. SUMICO;010.901-13.00267191;0;;;01/07/2013;;0707;2013;1;929453;92945;0
B;2;1;1;0;021761275619000;CV. SUMICO;010.901-13.00267194;0;;;03/07/2013;;0707;2013;1;1030209;103020;0
B;2;1;1;0;021761275619000;CV. SUMICO;010.901-13.00267441;0;;;15/07/2013;;0707;2013;1;299091;29909;0
B;2;1;1;0;021761275619000;CV. SUMICO;010.901-13.00267581;0;;;17/07/2013;;0707;2013;1;799210;79921;0
B;2;1;1;0;021761275619000;CV. SUMICO;010.901-13.00267671;0;;;24/07/2013;;0707;2013;1;830404;83040;0
B;2;1;1;0;021761275619000;CV. SUMICO;010.901-13.00267748;0;;;26/07/2013;;0707;2013;1;547818;54781;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20650733;0;;;31/07/2013;;0707;2013;1;2168347;216835;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20650734;0;;;31/07/2013;;0707;2013;1;4366867;436687;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20653898;0;;;31/07/2013;;0707;2013;1;598809;59881;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20653896;0;;;31/07/2013;;0707;2013;1;3336195;333620;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20653897;0;;;31/07/2013;;0707;2013;1;2697268;269727;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20650732;0;;;31/07/2013;;0707;2013;1;3099493;309949;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20626110;0;;;28/07/2013;;0707;2013;1;1359147;135915;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20626112;0;;;28/07/2013;;0707;2013;1;1684151;168415;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20637832;0;;;31/07/2013;;0707;2013;1;2984286;298429;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20626111;0;;;28/07/2013;;0707;2013;1;2118288;211829;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20637834;0;;;31/07/2013;;0707;2013;1;3612667;361267;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20626108;0;;;28/07/2013;;0707;2013;1;2221039;222104;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20626109;0;;;28/07/2013;;0707;2013;1;1774249;177425;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20597055;0;;;21/07/2013;;0707;2013;1;1918252;191825;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20597052;0;;;21/07/2013;;0707;2013;1;4560826;456083;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20622214;0;;;27/07/2013;;0707;2013;1;3949757;394976;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20597053;0;;;21/07/2013;;0707;2013;1;3631043;363104;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20597054;0;;;21/07/2013;;0707;2013;1;3096488;309649;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20597056;0;;;21/07/2013;;0707;2013;1;1135513;113551;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20622213;0;;;27/07/2013;;0707;2013;1;3192831;319283;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20592172;0;;;20/07/2013;;0707;2013;1;2686183;268618;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20592170;0;;;20/07/2013;;0707;2013;1;9340940;934094;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20592171;0;;;20/07/2013;;0707;2013;1;4520709;452071;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20560321;0;;;14/07/2013;;0707;2013;1;2934347;293435;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20560319;0;;;14/07/2013;;0707;2013;1;2090953;209095;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20560318;0;;;14/07/2013;;0707;2013;1;5353489;535349;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20560316;0;;;14/07/2013;;0707;2013;1;3655447;365545;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20560320;0;;;14/07/2013;;0707;2013;1;5670672;567067;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20560317;0;;;14/07/2013;;0707;2013;1;3894652;389465;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20542914;0;;;10/07/2013;;0707;2013;1;1063536;106354;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20542911;0;;;10/07/2013;;0707;2013;1;3081114;308111;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20536128;0;;;09/07/2013;;0707;2013;1;4204147;420415;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20542913;0;;;10/07/2013;;0707;2013;1;2560998;256100;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20542915;0;;;10/07/2013;;0707;2013;1;253843;25384;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20536129;0;;;09/07/2013;;0707;2013;1;1338101;133810;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20542912;0;;;10/07/2013;;0707;2013;1;1705904;170590;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20561872;0;;;29/06/2013;;0707;2013;1;3812150;381215;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20587596;0;;;15/06/2013;;0707;2013;1;1834071;183407;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20592796;0;;;15/06/2013;;0707;2013;1;4341642;434164;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20592795;0;;;15/06/2013;;0707;2013;1;2743349;274335;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20587594;0;;;15/06/2013;;0707;2013;1;865671;86567;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20587595;0;;;15/06/2013;;0707;2013;1;2796288;279629;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.900-13.07328921;0;;;13/06/2013;;0707;2013;1;8160424;816042;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20561873;0;;;21/06/2013;;0707;2013;1;1720492;172049;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.900-13.07356216;0;;;06/07/2013;;0707;2013;1;2519881;251988;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.901-13.20561871;0;;;14/07/2013;;0707;2013;1;940522;94052;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.900-13.07356212;0;;;06/07/2013;;0707;2013;1;6883067;688307;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.900-13.07356214;0;;;06/07/2013;;0707;2013;1;3904629;390463;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.900-13.07356207;0;;;06/07/2013;;0707;2013;1;2301732;230173;0
B;2;1;1;0;010017010092000;P.T. UNILEVER INDONESIA TBK;010.900-13.07356213;0;;;06/07/2013;;0707;2013;1;1037946;103795;0
B;2;1;1;0;028276251641000;PT.BUKIT INTI MAKMUR ABADI;010.900-13.00477479;0;;;01/07/2013;;0707;2013;1;1123889;112389;0
B;2;1;1;0;028276251641000;PT.BUKIT INTI MAKMUR ABADI;010.901-13.66945125;0;;;12/07/2013;;0707;2013;1;332433;33243;0
B;2;1;1;0;028276251641000;PT.BUKIT INTI MAKMUR ABADI;010.901-13.66946300;0;;;20/07/2013;;0707;2013;1;2876731;287673;0
B;2;1;1;0;028276251641000;PT.BUKIT INTI MAKMUR ABADI;010.901-13.66945124;0;;;12/07/2013;;0707;2013;1;324857;32486;0
B;2;1;1;0;028276251641000;PT.BUKIT INTI MAKMUR ABADI;010.900-13.00477480;0;;;01/07/2013;;0707;2013;1;226705;22670;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26648226;0;;;04/07/2013;;0707;2013;1;809196;80919;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26648223;0;;;04/07/2013;;0707;2013;1;287700;28770;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26655201;0;;;04/07/2013;;0707;2013;1;168552;16855;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26648466;0;;;04/07/2013;;0707;2013;1;159000;15900;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26655200;0;;;04/07/2013;;0707;2013;1;1393000;139300;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26653126;0;;;16/07/2013;;0707;2013;1;996000;99600;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26653120;0;;;16/07/2013;;0707;2013;1;709800;70980;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26653095;0;;;16/07/2013;;0707;2013;1;169500;16950;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26653094;0;;;16/07/2013;;0707;2013;1;190944;19094;0
B;2;1;1;0;013682752092000;PT. SUKANDA DJAYA;010.900-13.26653125;0;;;16/07/2013;;0707;2013;1;990960;99096;0
